Gene	Chromosome	Start	End	Expression_Breadth	Description	GO_Term	GO_Function
A2M	chr12	9111570	9159825	18	alpha-2-macroglobulin	0005515	protein binding
AAMP	chr2	218837095	218843137	18	angio-associated, migratory cell protein	0005737	cytoplasm
AARS	chr16	68843797	68880913	18	alanyl-tRNA synthetase	0000049	tRNA binding
AARSD1	chr17	38356068	38386071	18	alanyl-tRNA synthetase domain containing 1	0005524	ATP binding
AASDHPPT	chr11	105453501	105474629	18	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	0008897	holo-[acyl-carrier-protein] synthase activity
AATF	chr17	32380287	32488284	18	apoptosis antagonizing transcription factor	0006974	response to DNA damage stimulus
ABCB6	chr2	219782737	219791916	18	ATP-binding cassette, sub-family B (MDR/TAP), member 6	0005774	vacuolar membrane
ABCB7	chrX	74189829	74292857	18	ATP-binding cassette, sub-family B (MDR/TAP), member 7	0042626	ATPase activity, coupled to transmembrane movement of substances
ABCE1	chr4	146238605	146270126	18	ATP-binding cassette, sub-family E (OABP), member 1	0044419	interspecies interaction between organisms
ABCF1	chr6	30647148	30667288	18	ATP-binding cassette, sub-family F (GCN20), member 1	0008135	translation factor activity, nucleic acid binding
ABHD14B	chr3	51977565	51983686	18	abhydrolase domain containing 14B	0005634	nucleus
ABHD2	chr15	87432384	87546595	18	abhydrolase domain containing 2	0004091	carboxylesterase activity
ABHD5	chr3	43707378	43739221	18	abhydrolase domain containing 5	0006631	fatty acid metabolic process
ABI1	chr10	27075530	27189965	18	abl-interactor 1	0005515	protein binding
ABI2	chr2	203901247	204005137	18	abl interactor 2	0005737	cytoplasm
ABL1	chr9	132579088	132752883	18	c-abl oncogene 1, receptor tyrosine kinase	0005634	nucleus
ABLIM1	chr10	116180858	116434404	18	actin binding LIM protein 1	0005737	cytoplasm
ACAA1	chr3	38139204	38153737	18	acetyl-Coenzyme A acyltransferase 1	0005515	protein binding
ACAA2	chr18	45563871	45594249	18	acetyl-Coenzyme A acyltransferase 2	0003988	acetyl-CoA C-acyltransferase activity
ACACA	chr17	32516039	32841015	18	acetyl-Coenzyme A carboxylase alpha	0046872	metal ion binding
ACAD9	chr3	130081022	130114647	18	acyl-Coenzyme A dehydrogenase family, member 9	0005739	mitochondrion
ACADVL	chr17	7063876	7069309	18	acyl-Coenzyme A dehydrogenase, very long chain	0044255	cellular lipid metabolic process
ACAP2	chr3	196476762	196645106	18	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	0046872	metal ion binding
ACIN1	chr14	22597613	22634663	18	apoptotic chromatin condensation inducer 1	0005634	nucleus
ACLY	chr17	37276704	37328798	18	ATP citrate lyase	0005524	ATP binding
ACO1	chr9	32374600	32440832	18	aconitase 1, soluble	0005737	cytoplasm
ACO2	chr22	40195074	40254939	18	aconitase 2, mitochondrial	0006091	generation of precursor metabolites and energy
ACOT9	chrX	23631697	23671328	18	acyl-CoA thioesterase 9	0005739	mitochondrion
ACOX1	chr17	71449186	71487039	18	acyl-Coenzyme A oxidase 1, palmitoyl	0005777	peroxisome
